DATE,NA000336Q
1947-01-01,5966.0
1947-04-01,6381.0
1947-07-01,6415.0
1947-10-01,6711.0
1948-01-01,6502.0
1948-04-01,7100.0
1948-07-01,7229.0
1948-10-01,8050.0
1949-01-01,6535.0
1949-04-01,6966.0
1949-07-01,6665.0
1949-10-01,6783.0
1950-01-01,6221.0
1950-04-01,7224.0
1950-07-01,7902.0
1950-10-01,8671.0
1951-01-01,7800.0
1951-04-01,8710.0
1951-07-01,8593.0
1951-10-01,9083.0
1952-01-01,8318.0
1952-04-01,9033.0
1952-07-01,8158.0
1952-10-01,9392.0
1953-01-01,8834.0
1953-04-01,10010.0
1953-07-01,9768.0
1953-10-01,10155.0
1954-01-01,9034.0
1954-04-01,10020.0
1954-07-01,9574.0
1954-10-01,9938.0
1955-01-01,9305.0
1955-04-01,10808.0
1955-07-01,11122.0
1955-10-01,12128.0
1956-01-01,11179.0
1956-04-01,12593.0
1956-07-01,12520.0
1956-10-01,13457.0
1957-01-01,12185.0
1957-04-01,13565.0
1957-07-01,13452.0
1957-10-01,13895.0
1958-01-01,11507.0
1958-04-01,12284.0
1958-07-01,11897.0
1958-10-01,12804.0
1959-01-01,12501.0
1959-04-01,13666.0
1959-07-01,13519.0
1959-10-01,13438.0
1960-01-01,13723.0
1960-04-01,14675.0
1960-07-01,14167.0
1960-10-01,13824.0
1961-01-01,13263.0
1961-04-01,14507.0
1961-07-01,14246.0
1961-10-01,14582.0
1962-01-01,14685.0
1962-04-01,15662.0
1962-07-01,15377.0
1962-10-01,15508.0
1963-01-01,15220.0
1963-04-01,16437.0
1963-07-01,16409.0
1963-10-01,16744.0
1964-01-01,16918.0
1964-04-01,18377.0
1964-07-01,18324.0
1964-10-01,18611.0
1965-01-01,19891.0
1965-04-01,21440.0
1965-07-01,21686.0
1965-10-01,22219.0
1966-01-01,22807.0
1966-04-01,24743.0
1966-07-01,24577.0
1966-10-01,25046.0
1967-01-01,23656.0
1967-04-01,25052.0
1967-07-01,24902.0
1967-10-01,25597.0
1968-01-01,24515.0
1968-04-01,26901.0
1968-07-01,26816.0
1968-10-01,29435.0
1969-01-01,27378.0
1969-04-01,30168.0
1969-07-01,30241.0
1969-10-01,32226.0
1970-01-01,29266.0
1970-04-01,31882.0
1970-07-01,31264.0
1970-10-01,32233.0
1971-01-01,29650.0
1971-04-01,33035.0
1971-07-01,32532.0
1971-10-01,35199.0
1972-01-01,34298.0
1972-04-01,37310.0
1972-07-01,35932.0
1972-10-01,39097.0
1973-01-01,38880.0
1973-04-01,44059.0
1973-07-01,43602.0
1973-10-01,46185.0
1974-01-01,44711.0
1974-04-01,48746.0
1974-07-01,47653.0
1974-10-01,49960.0
1975-01-01,46882.0
1975-04-01,49766.0
1975-07-01,48608.0
1975-10-01,51520.0
1976-01-01,51347.0
1976-04-01,55194.0
1976-07-01,54758.0
1976-10-01,58047.0
1977-01-01,59451.0
1977-04-01,65362.0
1977-07-01,64099.0
1977-10-01,70148.0
1978-01-01,68485.0
1978-04-01,79644.0
1978-07-01,79831.0
1978-10-01,86615.0
1979-01-01,86681.0
1979-04-01,93391.0
1979-07-01,93871.0
1979-10-01,99881.0
1980-01-01,99070.0
1980-04-01,101115.0
1980-07-01,99901.0
1980-10-01,106825.0
1981-01-01,107805.0
1981-04-01,117037.0
1981-07-01,119822.0
1981-10-01,128274.0
1982-01-01,121201.0
1982-04-01,124321.0
1982-07-01,118938.0
1982-10-01,120639.0
1983-01-01,111685.0
1983-04-01,118454.0
1983-07-01,120501.0
1983-10-01,131514.0
1984-01-01,128101.0
1984-04-01,141474.0
1984-07-01,142787.0
1984-10-01,151959.0
1985-01-01,143592.0
1985-04-01,154168.0
1985-07-01,150942.0
1985-10-01,159050.0
1986-01-01,148552.0
1986-04-01,154662.0
1986-07-01,150048.0
1986-10-01,154503.0
1987-01-01,143089.0
1987-04-01,154341.0
1987-07-01,156352.0
1987-10-01,161456.0
1988-01-01,154998.0
1988-04-01,167863.0
1988-07-01,166403.0
1988-10-01,173015.0
1989-01-01,167874.0
1989-04-01,180748.0
1989-07-01,182830.0
1989-10-01,184541.0
1990-01-01,178104.0
1990-04-01,186564.0
1990-07-01,186733.0
1990-10-01,187833.0
1991-01-01,175202.0
1991-04-01,185181.0
1991-07-01,180162.0
1991-10-01,183040.0
1992-01-01,173665.0
1992-04-01,188591.0
1992-07-01,185658.0
1992-10-01,194024.0
1993-01-01,188364.0
1993-04-01,202017.0
1993-07-01,198794.0
1993-10-01,210029.0
1994-01-01,203773.0
1994-04-01,218420.0
1994-07-01,217210.0
1994-10-01,229449.0
1995-01-01,227578.0
1995-04-01,244292.0
1995-07-01,239901.0
1995-10-01,250476.0
1996-01-01,242924.0
1996-04-01,261587.0
1996-07-01,263127.0
1996-10-01,275557.0
1997-01-01,266276.0
1997-04-01,288688.0
1997-07-01,295575.0
1997-10-01,298549.0
1998-01-01,292452.0
1998-04-01,318239.0
1998-07-01,315988.0
1998-10-01,327466.0
1999-01-01,321304.0
1999-04-01,344143.0
1999-07-01,345965.0
1999-10-01,353066.0
2000-01-01,352204.0
2000-04-01,379856.0
2000-07-01,379710.0
2000-10-01,386661.0
2001-01-01,366092.0
2001-04-01,374497.0
2001-07-01,361577.0
2001-10-01,357902.0
2002-01-01,330312.0
2002-04-01,343206.0
2002-07-01,338173.0
2002-10-01,341157.0
2003-01-01,323692.0
2003-04-01,347145.0
2003-07-01,346986.0
2003-10-01,358057.0
2004-01-01,342731.0
2004-04-01,364799.0
2004-07-01,371593.0
2004-10-01,388245.0
2005-01-01,377723.0
2005-04-01,406180.0
2005-07-01,410756.0
2005-10-01,426327.0
2006-01-01,422455.0
2006-04-01,450266.0
2006-07-01,454094.0
2006-10-01,466986.0
2007-01-01,455718.0
2007-04-01,487895.0
2007-07-01,493472.0
2007-10-01,511479.0
2008-01-01,488755.0
2008-04-01,508565.0
2008-07-01,502683.0
2008-10-01,490868.0
2009-01-01,421552.0
2009-04-01,422231.0
2009-07-01,419631.0
2009-10-01,427016.0
2010-01-01,396589.0
2010-04-01,431906.0
2010-07-01,442298.0
2010-10-01,464188.0
2011-01-01,434387.0
2011-04-01,468952.0
2011-07-01,489461.0
2011-10-01,514665.0
2012-01-01,501670.0
2012-04-01,534667.0
2012-07-01,529429.0
2012-10-01,552762.0
2013-01-01,523109.0
2013-04-01,551105.0
2013-07-01,554636.0
2013-10-01,582645.0
2014-01-01,557174.0
2014-04-01,599009.0
2014-07-01,607800.0
2014-10-01,630311.0
2015-01-01,587931.0
2015-04-01,620987.0
2015-07-01,617285.0
2015-10-01,623482.0
2016-01-01,580618.0
2016-04-01,614800.0
2016-07-01,616272.0
2016-10-01,630437.0
2017-01-01,605894.0
2017-04-01,650160.0
2017-07-01,654297.0
2017-10-01,677509.0
2018-01-01,653777.0
2018-04-01,710415.0
2018-07-01,709217.0
2018-10-01,734944.0
